date,time,ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.flags,tcp.window_size_value,tcp.options.mss_val
Mar 26, 2024 14:34:18.814160000 EDT,192.168.4.142,192.168.4.143,912,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814174000 EDT,192.168.4.142,192.168.4.143,7443,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814187000 EDT,192.168.4.142,192.168.4.143,6004,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814202000 EDT,192.168.4.142,192.168.4.143,3283,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814216000 EDT,192.168.4.142,192.168.4.143,5221,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814229000 EDT,192.168.4.142,192.168.4.143,10001,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814246000 EDT,192.168.4.142,192.168.4.143,7070,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814259000 EDT,192.168.4.142,192.168.4.143,4998,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814272000 EDT,192.168.4.142,192.168.4.143,5225,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814285000 EDT,192.168.4.142,192.168.4.143,4550,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814322000 EDT,192.168.4.142,192.168.4.143,13783,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814347000 EDT,192.168.4.142,192.168.4.143,1185,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814361000 EDT,192.168.4.142,192.168.4.143,5950,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814376000 EDT,192.168.4.142,192.168.4.143,8383,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814389000 EDT,192.168.4.142,192.168.4.143,2006,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814404000 EDT,192.168.4.142,192.168.4.143,32779,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814418000 EDT,192.168.4.142,192.168.4.143,1097,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814432000 EDT,192.168.4.142,192.168.4.143,16080,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814446000 EDT,192.168.4.142,192.168.4.143,5000,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814461000 EDT,192.168.4.142,192.168.4.143,545,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814476000 EDT,192.168.4.142,192.168.4.143,1054,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814490000 EDT,192.168.4.142,192.168.4.143,83,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814504000 EDT,192.168.4.142,192.168.4.143,1130,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814517000 EDT,192.168.4.142,192.168.4.143,65000,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814532000 EDT,192.168.4.142,192.168.4.143,34573,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814545000 EDT,192.168.4.142,192.168.4.143,3260,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814558000 EDT,192.168.4.142,192.168.4.143,2021,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814573000 EDT,192.168.4.142,192.168.4.143,2170,41919,0x0002,1024,1460
