date,time,ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags,tcp.options.unknown.payload
Mar 10, 2024 17:01:51.923923000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0010,0xea72
Mar 10, 2024 17:01:51.924012000 EDT,34.120.158.37,192.168.4.137,443,37414,8515,0x0010,0x8609
Mar 10, 2024 17:01:51.924199000 EDT,34.120.158.37,192.168.4.137,443,37414,8515,0x0010,0x8609
Mar 10, 2024 17:01:51.927792000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0010,0x4a16
Mar 10, 2024 17:01:51.927840000 EDT,34.120.158.37,192.168.4.137,443,37414,8716,0x0010,0x8611
Mar 10, 2024 17:01:51.929254000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0010,0xc780
Mar 10, 2024 17:01:51.930597000 EDT,34.120.158.37,192.168.4.137,443,37414,8716,0x0010,0x8609
Mar 10, 2024 17:01:51.930852000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0010,0x7d52
Mar 10, 2024 17:01:51.932064000 EDT,34.120.158.37,192.168.4.137,443,37414,8716,0x0010,0x8609
Mar 10, 2024 17:01:51.932779000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0018,0x8b6f
Mar 10, 2024 17:01:51.934050000 EDT,34.120.158.37,192.168.4.137,443,37414,8716,0x0010,0x8609
Mar 10, 2024 17:01:51.951094000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0010,0xd5ff
Mar 10, 2024 17:01:51.951180000 EDT,34.120.158.37,192.168.4.137,443,37414,8684,0x0010,0x8601
Mar 10, 2024 17:01:51.960199000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0010,0xd6ae
Mar 10, 2024 17:01:51.960294000 EDT,34.120.158.37,192.168.4.137,443,37414,8813,0x0010,0x85f5
Mar 10, 2024 17:01:51.961080000 EDT,34.120.158.37,192.168.4.137,443,37414,8813,0x0018,0x861c
Mar 10, 2024 17:01:51.961809000 EDT,34.120.158.37,192.168.4.137,443,37414,8832,0x0018,0x860d
Mar 10, 2024 17:01:51.962010000 EDT,34.120.158.37,192.168.4.137,443,37414,8832,0x0011,0x85f5
Mar 10, 2024 17:01:51.998714000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0010,0x00fe
Mar 10, 2024 17:01:51.998728000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0010,0x00e5
Mar 10, 2024 17:01:51.999103000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0011,0x00e3
Mar 10, 2024 17:01:51.999150000 EDT,34.120.158.37,192.168.4.137,443,37414,8832,0x0010,0x85f5
Mar 10, 2024 17:01:52.202451000 EDT,34.107.243.93,192.168.4.137,443,45070,64240,0x0002,0xdb28
Mar 10, 2024 17:01:52.242625000 EDT,192.168.4.137,34.107.243.93,45070,443,65535,0x0012,0x7261
Mar 10, 2024 17:01:52.242736000 EDT,34.107.243.93,192.168.4.137,443,45070,502,0x0010,0xdb20
Mar 10, 2024 17:01:52.249728000 EDT,34.107.243.93,192.168.4.137,443,45070,502,0x0018,0xdd25
Mar 10, 2024 17:01:52.260917000 EDT,34.120.158.37,192.168.4.137,443,45452,64240,0x0002,0x85fd
Mar 10, 2024 17:01:52.285067000 EDT,192.168.4.137,34.107.243.93,45070,443,261,0x0010,0x9d98
Mar 10, 2024 17:01:52.285087000 EDT,192.168.4.137,34.107.243.93,45070,443,261,0x0010,0x31bf
Mar 10, 2024 17:01:52.285178000 EDT,34.107.243.93,192.168.4.137,443,45070,501,0x0010,0xdb20
Mar 10, 2024 17:01:52.287733000 EDT,192.168.4.137,34.107.243.93,45070,443,261,0x0018,0x7554
Mar 10, 2024 17:01:52.287779000 EDT,34.107.243.93,192.168.4.137,443,45070,496,0x0010,0xdb20
Mar 10, 2024 17:01:52.552210000 EDT,34.120.158.37,192.168.4.137,443,45460,64240,0x0002,0x85fd
Mar 10, 2024 17:01:52.563203000 EDT,192.168.4.137,34.107.243.93,45070,443,261,0x0018,0xe825
