date,time,ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags
Mar  8, 2024 15:23:58.525218329 EST,192.168.4.133,172.64.150.28,34188,443,65160,0x0012
Mar  8, 2024 15:23:58.525281182 EST,172.64.150.28,192.168.4.133,443,34188,249,0x0010
Mar  8, 2024 15:23:58.532094346 EST,172.64.150.28,192.168.4.133,443,34188,249,0x0018
Mar  8, 2024 15:23:58.532339106 EST,172.64.150.28,192.168.4.133,443,34188,249,0x0018
Mar  8, 2024 15:23:58.532372128 EST,172.64.150.28,192.168.4.133,443,34188,249,0x0018
Mar  8, 2024 15:23:58.540505136 EST,172.64.146.98,192.168.4.133,443,42118,31808,0x0002
Mar  8, 2024 15:23:58.546479961 EST,20.88.154.174,192.168.4.133,443,35450,31808,0x0002
Mar  8, 2024 15:23:58.552753789 EST,192.168.4.133,172.64.150.28,34188,443,7,0x0010
Mar  8, 2024 15:23:58.552753984 EST,192.168.4.133,172.64.150.28,34188,443,7,0x0018
Mar  8, 2024 15:23:58.552754031 EST,192.168.4.133,172.64.150.28,34188,443,8,0x0018
Mar  8, 2024 15:23:58.552782180 EST,172.64.150.28,192.168.4.133,443,34188,244,0x0010
Mar  8, 2024 15:23:58.552803914 EST,172.64.150.28,192.168.4.133,443,34188,244,0x0010
Mar  8, 2024 15:23:58.554306403 EST,192.168.4.133,172.64.150.28,34188,443,7,0x0010
Mar  8, 2024 15:23:58.554306660 EST,192.168.4.133,172.64.150.28,34188,443,7,0x0010
Mar  8, 2024 15:23:58.554334634 EST,172.64.150.28,192.168.4.133,443,34188,244,0x0010
Mar  8, 2024 15:23:58.554637984 EST,172.64.150.28,192.168.4.133,443,34188,244,0x0018
Mar  8, 2024 15:23:58.555663756 EST,172.64.150.28,192.168.4.133,443,34188,244,0x0018
Mar  8, 2024 15:23:58.561982231 EST,192.168.4.133,172.64.150.28,34188,443,8,0x0010
Mar  8, 2024 15:23:58.561982492 EST,192.168.4.133,172.64.146.98,42118,443,65160,0x0012
Mar  8, 2024 15:23:58.562026177 EST,172.64.146.98,192.168.4.133,443,42118,249,0x0010
Mar  8, 2024 15:23:58.564258523 EST,172.64.146.98,192.168.4.133,443,42118,249,0x0018
Mar  8, 2024 15:23:58.564687624 EST,172.64.146.98,192.168.4.133,443,42118,249,0x0018
Mar  8, 2024 15:23:58.564727320 EST,172.64.146.98,192.168.4.133,443,42118,249,0x0018
Mar  8, 2024 15:23:58.568823754 EST,192.168.4.133,172.64.150.28,34188,443,8,0x0010
Mar  8, 2024 15:23:58.582662509 EST,192.168.4.133,172.64.146.98,42118,443,7,0x0010
Mar  8, 2024 15:23:58.582662612 EST,192.168.4.133,172.64.146.98,42118,443,7,0x0010
Mar  8, 2024 15:23:58.582662692 EST,192.168.4.133,172.64.146.98,42118,443,7,0x0010
Mar  8, 2024 15:23:58.582662767 EST,192.168.4.133,172.64.146.98,42118,443,7,0x0010
Mar  8, 2024 15:23:58.582662834 EST,192.168.4.133,172.64.146.98,42118,443,7,0x0018
Mar  8, 2024 15:23:58.582662897 EST,192.168.4.133,172.64.146.98,42118,443,8,0x0018
Mar  8, 2024 15:23:58.582719593 EST,172.64.146.98,192.168.4.133,443,42118,244,0x0010
Mar  8, 2024 15:23:58.582748589 EST,172.64.146.98,192.168.4.133,443,42118,244,0x0010
Mar  8, 2024 15:23:58.583379008 EST,172.64.146.98,192.168.4.133,443,42118,244,0x0018
Mar  8, 2024 15:23:58.585200844 EST,172.64.146.98,192.168.4.133,443,42118,244,0x0018
Mar  8, 2024 15:23:58.597008008 EST,192.168.4.133,20.88.154.174,35446,443,505,0x0010
Mar  8, 2024 15:23:58.600533972 EST,192.168.4.133,20.88.154.174,35450,443,65160,0x0012
Mar  8, 2024 15:23:58.600579582 EST,20.88.154.174,192.168.4.133,443,35450,249,0x0010
Mar  8, 2024 15:23:58.604036885 EST,20.88.154.174,192.168.4.133,443,35450,249,0x0018
Mar  8, 2024 15:23:58.606675414 EST,192.168.4.133,172.64.146.98,42118,443,8,0x0010
Mar  8, 2024 15:23:58.654368975 EST,192.168.4.133,20.88.154.174,35450,443,506,0x0010
Mar  8, 2024 15:23:58.654369299 EST,192.168.4.133,20.88.154.174,35450,443,506,0x0010
